Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/96805335/clean-title-2017-mercedes-benz-gls-550-4matic-ma-north-boston,96805335,$1 USD,12/17/2025 06:30 pm GMT+3:30,2017,MERZ,GLS 550 4M,4.7L  8,8,4JGDF7DE2HA******,CERTIFICATE OF TITLE (P),"166,810 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,104,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/96804595/clean-title-2019-audi-q7-prestige-ma-north-boston,96804595,$1 USD,12/17/2025 06:30 pm GMT+3:30,2019,AUDI,Q7 PRESTIG,3.0L  6,6,WA1VAAF71KD******,CERTIFICATE OF TITLE (P),"178,110 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,97,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/96803795/clean-title-2020-mercedes-benz-gle-350-4matic-ma-north-boston,96803795,$1 USD,12/17/2025 06:30 pm GMT+3:30,2020,MERZ,GLE 350 4M,2.0L  4,4,4JGFB4KE6LA******,CERT OF TITLE (P),"140,709 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,96,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/96802785/clean-title-2021-cadillac-escalade-premium-luxury-ma-north-boston,96802785,$1 USD,12/17/2025 06:30 pm GMT+3:30,2021,CADI,ESCALADE P,6.2L  8,8,1GYS4CKL5MR******,CERTIFICATE OF TITLE (P),"158,790 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,95,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/96788625/clean-title-2021-toyota-highlander-xle-ma-north-boston,96788625,"29,850 USD",12/17/2025 06:30 pm GMT+3:30,2021,TOYT,HIGHLANDER,3.5L  6,6,5TDGZRBH7MS******,CERTIFICATE OF TITLE (P),"215,106 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,122,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/96772375/clean-title-2012-toyota-tacoma-ma-north-boston,96772375,$1 USD,12/17/2025 06:30 pm GMT+3:30,2012,TOYT,TACOMA,2.7L  4,4,5TFPX4EN0CX******,CERTIFICATE OF TITLE (P),"68,591 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,3360,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/96766625/clean-title-2018-nissan-rogue-s-pa-scranton,96766625,"13,120 USD",12/17/2025 06:30 pm GMT+3:30,2018,NISS,ROGUE S,2.5L  4,4,JN8AT2MV2JW******,CERT OF TITLE,"189,000 A",ACTUAL,MECHANICAL,225 USD,0 USD,87,PA - SCRANTON,0,N/A,N/A
https://www.copart.com/lot/96760515/salvage-2021-mini-cooper-s-nj-trenton,96760515,"18,937 USD",12/17/2025 06:30 pm GMT+3:30,2021,MIN,COOPER S,2.0L  4,4,WMWXU9C08M2******,CERT OF TITLE-SALVAGE,"36,020 A",ACTUAL,REAR END,275 USD,0 USD,0,NJ - TRENTON,0,N/A,N/A
https://www.copart.com/lot/96756605/salvage-2013-chevrolet-equinox-lt-pa-scranton,96756605,"6,375 USD",12/17/2025 06:30 pm GMT+3:30,2013,CHEV,EQUINOX LT,2.4L  4,4,2GNALDEKXD6******,CERTIFICATE OF SALVAGE,"116,612 A",ACTUAL,MECHANICAL,60 USD,0 USD,2014,PA - SCRANTON,0,N/A,N/A
https://www.copart.com/lot/96755335/clean-title-2008-toyota-scion-xd-ma-freetown,96755335,$1 USD,12/17/2025 06:30 pm GMT+3:30,2008,TOYT,SCION XD,1.8L  4,4,JTKKU10438J******,CERTIFICATE OF TITLE,0 E,EXEMPT,MINOR DENT/SCRATCHES,225 USD,0 USD,0,MA - FREETOWN,0,N/A,N/A
https://www.copart.com/lot/96748935/clean-title-2012-toyota-camry-hybrid-ny-long-island,96748935,"9,075 USD",12/17/2025 06:30 pm GMT+3:30,2012,TOYT,CAMRY HYBR,2.5L  4,4,4T1BD1FK6CU******,CERTIFICATE OF TITLE,"287,069 A",ACTUAL,FRONT END,175 USD,0 USD,0,NY - LONG ISLAND,0,N/A,N/A
